slug,provider,offer,actionButtons,chain,technology,monitoringAndAnalytics,additionalFeatures,starred,availableApis,sdk,searchCapabilities,smartContractsVerifications,fullHistory,pricing,tag
oklink-mainnet,,!offer:oklink,"[""[Explore](https://www.oklink.com/x-layer/evm)""]",mainnet,,,"[""Token Tracker"",""Smart Contract Verification"",""Address Labels"",""Address Monitoring"",""APIs"",""Network Overview"",""Price Charts""]",,"[""REST API""]",,,,,,
okx-mainnet,,!offer:okx,"[""[Explore](https://www.okx.com/web3/explorer/xlayer)""]",mainnet,,,,,,,,,,,
okx-testnet,,!offer:okx,"[""[Explore](https://www.okx.com/web3/explorer/xlayer-test)""]",testnet,,,,,,,,,,,
