slug,provider,offer,actionButtons,chain,technology,starred,availableApis,monitoringAndAnalytics,additionalFeatures,dataTypes,decentralizationModel,economicalSecurity,economicalSecurityNote,sdk,auditsPerformed,tag
pyth-mainnet,,!offer:pyth,"[""[Website](https://pyth.network/)"",""[Docs](https://docs.pyth.network/price-feeds/core/contract-addresses/evm)""]",mainnet,,,,,,,,,,,,
redstone-mainnet,,!offer:redstone,"[""[Website](https://redstone.finance/)"",""[Docs](https://docs.redstone.finance/docs/introduction)""]",mainnet,,,,,,,,,,,,
