slug,provider,offer,actionButtons,chain,technology,monitoringAndAnalytics,additionalFeatures,starred,availableApis,sdk,searchCapabilities,smartContractsVerifications,fullHistory,pricing,tag
blockscout-mainnet,,!offer:blockscout,"[""[Explore](https://explorer.etherlink.com/)""]",mainnet,,,,,,,,,,,
blockscout-testnet,,!offer:blockscout,"[""[Explore](https://shadownet.explorer.etherlink.com/)""]",testnet,,,,,,,,,,,
