slug,provider,offer,actionButtons,chain,technology,monitoringAndAnalytics,additionalFeatures,starred,availableApis,sdk,searchCapabilities,smartContractsVerifications,fullHistory,pricing,tag
blockscout-mainnet,,!offer:blockscout,"[""[Explore](https://explorer.katanarpc.com/)"",""[Docs](https://explorer.katanarpc.com/api-docs)""]",mainnet,,,,,,,,,,,
etherscan-mainnet,,!offer:etherscan,"[""[Explore](https://katanascan.com/)"",""[Docs](https://docs.etherscan.io/supported-chains)""]",mainnet,,,,,,,,,,,
tenderly-explorer-bokuto,,!offer:tenderly-explorer,"[""[Explore](https://dashboard.tenderly.co/explorer/katana-bokuto)"",""[Docs](https://docs.polygon.technology/interoperability/agglayer/supported-chains)""]",bokuto,,,,,,,,,,,
tenderly-explorer-mainnet,,!offer:tenderly-explorer,"[""[Explore](https://dashboard.tenderly.co/explorer/katana)"",""[Docs](https://docs.tenderly.co/platform/supported-networks)""]",mainnet,,,,,,,,,,,
