slug,provider,offer,actionButtons,chain,requiresLogin,hasCaptcha,requiredMainnetBalance,price,dripLimitAmount,dripLimitPeriod,additionalNotes,starred,tag
algorand-testnet-dispenser-algo,,!offer:algorand-dispenser-algo,,testnet,,,,,,,,,
algorand-testnet-dispenser-usdc,,!offer:algorand-dispenser-usdc,,testnet,,,,,,,,,
circle-faucet-usdc,,!offer:circle-faucet-usdc,,testnet,,,,,,,,,
