slug,provider,offer,actionButtons,toolType,description,tag,planType,planName,price,trial,availableApis,executionEnvironment
algokit,,!offer:algokit,,,,,,,,,,
portal-developer,,!offer:portal-developer,,,,,,,,,,
portal-startup,,!offer:portal-startup,,,,,,,,,,
