slug,provider,offer,actionButtons,chain,technology,starred,availableApis,monitoringAndAnalytics,additionalFeatures,dataTypes,decentralizationModel,economicalSecurity,economicalSecurityNote,sdk,auditsPerformed,tag
goracle-mainnet,,!offer:goracle,"[""[Algorand Docs](https://goranetwork.github.io/doc/#classic-oracle-on-algorand)""]",mainnet,,,"[""Algorand ABI""]","[""Observer node"",""Gora CLI request tracing""]",,,,,,,,
tellor-mainnet,,!offer:tellor,"[""[Price Feeds](https://github.com/tellor-io/algorandTellorV2#current-price-feeds--)"",""[Docs](https://docs.tellor.io/tellor)""]",mainnet,,,,,,,,,,,,
