slug,provider,offer,actionButtons,planName,planType,historicalData,apiType,technology,chain,accessPrice,queryPrice,starred,trial,availableApis,limitations,securityImprovements,monitoringAndAnalytics,regions,additionalFeatures,address,tag,uptimeSla,verifiedUptime,blocksBehindSla,verifiedBlocksBehindAvg,bandwidthSla,verifiedLatency,supportSla
nodely-testnet-pay-as-you-go-archive,Nodely,,"[""[Buy](https://nodely.io/pricing)"",""[Docs](https://nodely.io/docs/free/start/)""]",,Pay-as-you-go,Archive,RPC,Algorand REST,testnet,$256,,FALSE,FALSE,"[""Algod API"",""Indexer API"",""KMD API"",""Smart Contract (ASC1) API""]","[""6K req/sec/key/site"",""2TB req/mo"",""500 req/sec/IP"",""6K transactions/sec/project"",""500 transactions/sec/IP""]","[""Secure API keys"",""IPFS GW""]","[""Real time monitoring dashboard""]","[""Global""]",,,,99.99%,NULL,NULL,NULL,NULL,NULL,
nodely-testnet-pay-as-you-go-indexer,Nodely,,"[""[Buy](https://nodely.io/pricing)"",""[Docs](https://nodely.io/docs/free/start/)""]",,Pay-as-you-go,Archive,Indexed Data,Algorand Indexer,testnet,$256,null,FALSE,FALSE,"[""REST API"",""GraphQL""]","[""6K req/s/key/site"",""2TB req/mo"",""500 req/s/IP"",""6K/s transactions/project"",""500/s transactions/IP""]","[""Secure API keys"",""IPFS GW""]","[""Real time monitoring dashboard""]","[""Global""]","[""Light indexer snapshots"",""Instant follower API compatible with Conduit""]",null,,,,,,,,
nownodes-mainnet-business-recent-state,,!offer:nownodes-business-recent-state,"[""[Buy](https://nownodes.io/pricing)"",""[Docs](https://nownodes.io/blog/how-to-access-algorand-rpc-api/)""]",,,,,Algorand REST,mainnet,,,,,,,,,,,,,,,,,,,
nownodes-mainnet-dedicated-recent-state,,!offer:nownodes-dedicated-recent-state,"[""[Contact](https://account.nownodes.io/auth/login)"",""[Docs](https://nownodes.io/blog/how-to-access-algorand-rpc-api/)""]",,,,,Algorand REST,mainnet,,,,,,,,,,,,,,,,,,,
nownodes-mainnet-enterprise-recent-state,,!offer:nownodes-enterprise-recent-state,"[""[Buy](https://nownodes.io/pricing)"",""[Docs](https://nownodes.io/blog/how-to-access-algorand-rpc-api/)""]",,,,,Algorand REST,mainnet,,,,,,,,,,,,,,,,,,,
nownodes-mainnet-free-recent-state,,!offer:nownodes-free-recent-state,"[""[Website](https://nownodes.io/nodes/algorand-algo)"",""[Docs](https://nownodes.io/blog/how-to-access-algorand-rpc-api/)""]",,,,,Algorand REST,mainnet,,,,,,,,,,,,,,,,,,,
nownodes-mainnet-pro-recent-state,,!offer:nownodes-pro-recent-state,"[""[Buy](https://nownodes.io/pricing)"",""[Docs](https://nownodes.io/blog/how-to-access-algorand-rpc-api/)""]",,,,,Algorand REST,mainnet,,,,,,,,,,,,,,,,,,,
nownodes-testnet-business-recent-state,,!offer:nownodes-business-recent-state,"[""[Buy](https://nownodes.io/pricing)"",""[Docs](https://nownodes.io/blog/how-to-access-algorand-rpc-api/)""]",,,,,Algorand REST,testnet,,,,,,,,,,,,,,,,,,,
nownodes-testnet-dedicated-recent-state,,!offer:nownodes-dedicated-recent-state,"[""[Contact](https://account.nownodes.io/auth/login)"",""[Docs](https://nownodes.io/blog/how-to-access-algorand-rpc-api/)""]",,,,,Algorand REST,testnet,,,,,,,,,,,,,,,,,,,
nownodes-testnet-enterprise-recent-state,,!offer:nownodes-enterprise-recent-state,"[""[Buy](https://nownodes.io/pricing)"",""[Docs](https://nownodes.io/blog/how-to-access-algorand-rpc-api/)""]",,,,,Algorand REST,testnet,,,,,,,,,,,,,,,,,,,
nownodes-testnet-free-recent-state,,!offer:nownodes-free-recent-state,"[""[Website](https://nownodes.io/nodes/algorand-algo)"",""[Docs](https://nownodes.io/blog/how-to-access-algorand-rpc-api/)""]",,,,,Algorand REST,testnet,,,,,,,,,,,,,,,,,,,
nownodes-testnet-pro-recent-state,,!offer:nownodes-pro-recent-state,"[""[Buy](https://nownodes.io/pricing)"",""[Docs](https://nownodes.io/blog/how-to-access-algorand-rpc-api/)""]",,,,,Algorand REST,testnet,,,,,,,,,,,,,,,,,,,
onfinality-mainnet-free-plan-indexer,,!offer:onfinality-free-plan-indexer,"[""[Contact](https://indexing.onfinality.io/pricing)"",""[Docs](https://subquery.network/indexer/algorand)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
onfinality-mainnet-standard-plan-indexer,,!offer:onfinality-standard-plan-indexer,"[""[Contact](https://indexing.onfinality.io/pricing)"",""[Docs](https://subquery.network/indexer/algorand)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
subquery-mainnet-pay-as-you-go-indexer,,!offer:subquery-pay-as-you-go-indexer,"[""[Buy](https://subquery.network/doc/subquery_network/consumers/plan.html#setting-your-flex-plan-pricing)"",""[Docs](https://subquery.network/doc/indexer/quickstart/quickstart_chains/algorand.html#algorand-quick-start)""]",,,Archive,Indexed Data,Algorand Indexer,mainnet,,,,,,,,,,,,,,,,,,,
tatum-mainnet-free-recent-state,,!offer:tatum-free-recent-state,"[""[Website](https://www.tatum.io?via=chainlove)"",""[Docs](https://docs.tatum.io/reference/rpc-algorand)""]",,,,,Algorand REST,mainnet,,,,,,,,,,,,,,,,,,,
tatum-mainnet-pro-full-archive,,!offer:tatum-pro-full-archive,"[""[Buy](https://www.tatum.io?via=chainlove)"",""[Docs](https://docs.tatum.io/reference/rpc-algorand)""]",,,,,Algorand REST,mainnet,,,,,,,,,,,,,,,,,,,
tatum-mainnet-pro-recent-state,,!offer:tatum-pro-recent-state,"[""[Buy](https://www.tatum.io?via=chainlove)"",""[Docs](https://docs.tatum.io/reference/rpc-algorand)""]",,,,,Algorand REST,mainnet,,,,,,,,,,,,,,,,,,,
tatum-mainnet-scale-full-archive,,!offer:tatum-scale-full-archive,"[""[Buy](https://www.tatum.io?via=chainlove)"",""[Docs](https://docs.tatum.io/reference/rpc-algorand)""]",,,,,Algorand REST,mainnet,,,,,,,,,,,,,,,,,,,
tatum-mainnet-scale-recent-state,,!offer:tatum-scale-recent-state,"[""[Buy](https://www.tatum.io?via=chainlove)"",""[Docs](https://docs.tatum.io/reference/rpc-algorand)""]",,,,,Algorand REST,mainnet,,,,,,,,,,,,,,,,,,,
tatum-mainnet-starter-full-archive,,!offer:tatum-starter-full-archive,"[""[Buy](https://www.tatum.io?via=chainlove)"",""[Docs](https://docs.tatum.io/reference/rpc-algorand)""]",,,,,Algorand REST,mainnet,,,,,,,,,,,,,,,,,,,
tatum-mainnet-starter-recent-state,,!offer:tatum-starter-recent-state,"[""[Buy](https://www.tatum.io?via=chainlove)"",""[Docs](https://docs.tatum.io/reference/rpc-algorand)""]",,,,,Algorand REST,mainnet,,,,,,,,,,,,,,,,,,,
tatum-testnet-free-recent-state,,!offer:tatum-free-recent-state,"[""[Website](https://www.tatum.io?via=chainlove)"",""[Docs](https://docs.tatum.io/reference/rpc-algorand)""]",,,,,Algorand REST,testnet,,,,,,,,,,,,,,,,,,,
tatum-testnet-pro-full-archive,,!offer:tatum-pro-full-archive,"[""[Buy](https://www.tatum.io?via=chainlove)"",""[Docs](https://docs.tatum.io/reference/rpc-algorand)""]",,,,,Algorand REST,testnet,,,,,,,,,,,,,,,,,,,
tatum-testnet-pro-recent-state,,!offer:tatum-pro-recent-state,"[""[Buy](https://www.tatum.io?via=chainlove)"",""[Docs](https://docs.tatum.io/reference/rpc-algorand)""]",,,,,Algorand REST,testnet,,,,,,,,,,,,,,,,,,,
tatum-testnet-scale-full-archive,,!offer:tatum-scale-full-archive,"[""[Buy](https://www.tatum.io?via=chainlove)"",""[Docs](https://docs.tatum.io/reference/rpc-algorand)""]",,,,,Algorand REST,testnet,,,,,,,,,,,,,,,,,,,
tatum-testnet-scale-recent-state,,!offer:tatum-scale-recent-state,"[""[Buy](https://www.tatum.io?via=chainlove)"",""[Docs](https://docs.tatum.io/reference/rpc-algorand)""]",,,,,Algorand REST,testnet,,,,,,,,,,,,,,,,,,,
tatum-testnet-starter-full-archive,,!offer:tatum-starter-full-archive,"[""[Buy](https://www.tatum.io?via=chainlove)"",""[Docs](https://docs.tatum.io/reference/rpc-algorand)""]",,,,,Algorand REST,testnet,,,,,,,,,,,,,,,,,,,
tatum-testnet-starter-recent-state,,!offer:tatum-starter-recent-state,"[""[Buy](https://www.tatum.io?via=chainlove)"",""[Docs](https://docs.tatum.io/reference/rpc-algorand)""]",,,,,Algorand REST,testnet,,,,,,,,,,,,,,,,,,,
