slug,provider,offer,actionButtons,chain,technology,starred,availableApis,monitoringAndAnalytics,additionalFeatures,dataTypes,decentralizationModel,economicalSecurity,economicalSecurityNote,sdk,auditsPerformed,tag
api3-mainnet,,!offer:api3,"[""[Docs](https://docs.api3.org/dapps/)""]",mainnet,,,,,,,,,,,,
chainlink-amoy,,!offer:chainlink,"[""[Docs](https://docs.chain.link/)""]",amoy,,,,,,,,,,,,
chainlink-mainnet,,!offer:chainlink,"[""[POL/USD](https://data.chain.link/streams/pol-usd-cexprice-streams)"", ""[Docs](https://docs.chain.link/)""]",mainnet,,,,,,,,,,,,
dia-mainnet,,!offer:dia,"[""[Docs](https://www.diadata.org/docs/home)""]",mainnet,,,,,,,,,,,,
pyth-mainnet,,!offer:pyth,"[""[Docs](https://docs.pyth.network/price-feeds/core/getting-started)""]",mainnet,,,,,,,,,,,,
supra-mainnet,,!offer:supra,"[""[Docs](https://docs.supra.com/)""]",mainnet,,,,,,,,,,,,
uma-mainnet,,!offer:uma,"[""[Docs](https://docs.uma.xyz/)""]",mainnet,,,,,,,,,,,,
