slug,provider,offer,actionButtons,chain,technology,monitoringAndAnalytics,additionalFeatures,starred,availableApis,sdk,searchCapabilities,smartContractsVerifications,fullHistory,pricing,tag
blockscout-mainnet,,!offer:blockscout,"[""[Explore](https://unichain.blockscout.com/)""]",mainnet,,,,,,,,,,,
blockscout-testnet,,!offer:blockscout,"[""[Explore](https://unichain-sepolia.blockscout.com/)""]",testnet,,,,,,,,,,,
uniscan-mainnet,,!offer:etherscan,"[""[Explore](https://uniscan.xyz/)"",""[Docs](https://developers.uniswap.org/docs/unichain/tools/block-explorers)""]",mainnet,,,,,,,,,,,
uniscan-testnet,,!offer:etherscan,"[""[Explore](https://sepolia.uniscan.xyz/)"",""[Docs](https://developers.uniswap.org/docs/unichain/tools/block-explorers)""]",testnet,,,,,,,,,,,
