slug,provider,offer,actionButtons,chain,technology,monitoringAndAnalytics,additionalFeatures,starred,availableApis,sdk,searchCapabilities,smartContractsVerifications,fullHistory,pricing,tag
blockscout-mainnet,,!offer:blockscout,"[""[Explore](https://celo.blockscout.com/)""]",mainnet,,,,,,,,,,,
celoscan-mainnet,,!offer:etherscan,"[""[Explore](https://celoscan.io/)""]",mainnet,,,,,,,,,,,
