slug,provider,offer,actionButtons,toolType,description,tag,planType,planName,price,trial,availableApis,executionEnvironment
apeworx,,!offer:apeworx,,,,,,,,,,
thirdweb-growth,,!offer:thirdweb-growth,"[""[Website](https://thirdweb.com/somnia)"",""[Docs](https://docs.somnia.network/developer/development-frameworks/deploy-with-thirdweb)""]",,,,,,,,,
thirdweb-pro,,!offer:thirdweb-pro,"[""[Website](https://thirdweb.com/somnia)"",""[Docs](https://docs.somnia.network/developer/development-frameworks/deploy-with-thirdweb)""]",,,,,,,,,
thirdweb-scale,,!offer:thirdweb-scale,"[""[Website](https://thirdweb.com/somnia)"",""[Docs](https://docs.somnia.network/developer/development-frameworks/deploy-with-thirdweb)""]",,,,,,,,,
thirdweb-starter,,!offer:thirdweb-starter,"[""[Website](https://thirdweb.com/somnia)"",""[Docs](https://docs.somnia.network/developer/development-frameworks/deploy-with-thirdweb)""]",,,,,,,,,
