slug,provider,offer,actionButtons,chain,technology,starred,availableApis,monitoringAndAnalytics,additionalFeatures,dataTypes,decentralizationModel,economicalSecurity,economicalSecurityNote,sdk,auditsPerformed,tag
api3-mainnet,,!offer:api3,,mainnet,,,,,,,,,,,,
band-mainnet,,!offer:band,,mainnet,,,,,,,,,,,,
pyth-mainnet,,!offer:pyth,,mainnet,,,,,,,,,,,,
witnet-mainnet,,!offer:witnet,,mainnet,,,,,,,,,,,,
